,China Containerized Freight Index,China Shanghai Containerized Freight Index
2015-10-16,764.8400,568.7100
2015-10-23,752.2100,537.7300
2015-10-30,744.4400,759.0000
2015-11-06,742.0200,641.5100
2015-11-13,762.6400,544.3300
2015-11-20,775.6900,484.1400
2015-11-27,750.5400,535.2200
2015-12-04,718.5800,494.1000
2015-12-11,712.5800,527.1700
2015-12-18,716.4200,487.2600
2015-12-25,726.9100,488.6800
2015-12-31,723.2600,
2016-01-01,723.2600,836.9600
2016-01-08,734.9500,745.9100
2016-01-15,770.8600,680.2200
2016-01-22,785.1100,615.7700
2016-01-29,778.7900,591.5100
2016-02-05,772.2700,566.9200
2016-02-12,772.2700,
2016-02-19,762.5100,486.7000
2016-02-26,751.5400,467.5400
2016-03-04,735.6600,433.4600
2016-03-11,705.6000,404.1800
2016-03-18,670.1100,400.4300
2016-03-25,659.1900,418.4700
2016-04-01,646.0600,511.9900
2016-04-08,640.2700,489.6800
2016-04-15,636.1400,472.0700
2016-04-22,652.6900,457.7000
2016-04-29,632.3600,603.6400
2016-05-06,643.6000,579.6000
2016-05-13,652.8000,563.2200
2016-05-20,660.6400,526.3900
2016-05-27,665.4400,577.8100
2016-06-03,658.4300,588.5900
2016-06-08,656.6900,
2016-06-10,656.6900,557.6000
2016-06-17,658.6400,521.6000
2016-06-24,651.5900,550.6400
2016-07-01,645.6000,752.6500
2016-07-08,645.8000,677.7000
2016-07-15,684.4300,670.2900
2016-07-22,697.2500,628.5900
2016-07-29,704.6500,745.2000
2016-08-05,702.2500,680.5300
2016-08-12,702.8700,634.5400
2016-08-19,711.2800,597.4700
2016-08-26,705.2100,596.3800
2016-09-02,694.5900,763.0600
2016-09-09,702.6500,781.2100
2016-09-14,711.5500,
2016-09-16,711.5500,794.1000
2016-09-23,736.0700,733.5600
2016-09-30,741.8100,707.6800
2016-10-07,741.8100,
2016-10-14,728.2200,776.9300
2016-10-21,729.6400,795.1600
2016-10-28,738.0300,884.9500
2016-11-04,752.9200,860.4800
2016-11-11,763.7800,825.1000
2016-11-18,774.5800,814.0100
2016-11-25,777.1300,782.1000
2016-12-02,774.0500,794.9800
2016-12-09,766.1500,797.6200
2016-12-16,770.5600,824.3900
2016-12-23,781.4300,824.0000
2016-12-30,811.1400,951.6600
2017-01-06,806.2600,968.4000
2017-01-13,840.3500,990.2400
2017-01-20,864.9000,971.6400
2017-01-26,876.1000,
2017-01-27,,954.2700
2017-02-03,877.8900,948.0800
2017-02-10,873.7500,886.2600
2017-02-17,845.4300,830.4600
2017-02-24,815.4600,815.1000
2017-03-03,794.9900,778.8600
2017-03-10,791.0900,761.1500
2017-03-17,785.6600,747.0300
2017-03-24,778.1500,758.8100
2017-03-31,778.8300,830.0200
2017-04-07,788.4300,809.2700
2017-04-14,803.0000,810.1700
2017-04-21,806.5300,807.5500
2017-04-28,818.9900,909.2500
2017-05-05,818.6100,894.4300
2017-05-12,837.7400,865.0300
2017-05-19,848.2700,830.8000
2017-05-26,846.2700,853.4300
2017-06-02,840.0900,894.8600
2017-06-09,841.5900,869.5000
2017-06-16,845.5400,838.3600
2017-06-23,851.2600,827.2700
2017-06-30,851.6000,918.8300
2017-07-07,851.5900,889.3800
2017-07-14,859.8800,861.9100
2017-07-21,877.3300,837.4200
2017-07-28,874.3800,925.4500
2017-08-04,865.5000,897.2800
2017-08-11,856.5000,878.2700
2017-08-18,853.7900,859.9200
2017-08-25,846.7300,821.3500
2017-09-01,839.8400,801.9500
2017-09-08,833.6100,774.2700
2017-09-15,823.7600,774.6000
2017-09-22,812.3800,735.9100
2017-09-29,803.2500,715.9700
2017-10-13,772.6500,724.9300
2017-10-20,772.2700,747.3800
2017-10-27,775.5400,806.8100
2017-11-03,779.4700,818.7300
2017-11-10,784.2900,782.2500
2017-11-17,794.4700,734.1500
2017-11-24,785.2000,705.1900
2017-12-01,772.7700,732.0400
2017-12-08,763.1400,703.6700
2017-12-15,764.4300,727.1400
2017-12-22,763.7500,723.2000
2017-12-29,770.6400,824.1800
2018-01-05,773.2800,816.5800
2018-01-12,791.3800,839.7200
2018-01-19,813.0000,840.3600
2018-01-26,819.5900,858.6000
2018-02-02,829.0000,883.5900
2018-02-09,836.6000,871.7600
2018-02-14,844.5800,
2018-02-16,844.5800,867.1600
2018-02-23,848.3200,854.1900
2018-03-02,845.4800,772.4500
2018-03-09,830.8800,729.4900
2018-03-16,809.7500,675.4600
2018-03-23,788.7400,646.5900
2018-03-30,769.6700,658.6800
2018-04-04,757.6600,
2018-04-06,757.6600,654.1700
2018-04-13,748.1600,659.7400
2018-04-20,750.3700,674.5800
2018-04-27,744.0600,760.6700
2018-05-04,743.7100,776.8800
2018-05-11,763.1200,778.8300
2018-05-18,785.6300,753.8300
2018-05-25,789.7600,764.3400
2018-06-01,788.7800,829.0900
2018-06-08,796.6500,806.0400
2018-06-15,814.8300,777.7000
2018-06-22,812.1800,751.1300
2018-06-29,815.8900,821.1800
2018-07-06,808.5500,817.4000
2018-07-13,822.9400,825.5700
2018-07-20,831.4200,793.7600
2018-07-27,820.7900,863.5900
